Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Location,Description
audi,a3,2021,64371,268475,Sedan,3,Automatic Transmission,Gasoline,Red, Dubai,"2021 audi a3 with Bluetooth, Adaptive cruise control, Leather seats. Condition: Repainted bumper."
toyota,corolla,2006,37867,273276,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2006 toyota corolla with Rear camera, Leather seats, Bluetooth. Condition: Repainted bumper."
land-rover,range-rover-sport,2019,39651,225281,SUV,8,Automatic Transmission,Gasoline,Brown, Dubai,"2019 land-rover range-rover-sport with Adaptive cruise control, Leather seats, Sunroof. Condition: No damage."
audi,q7,2021,57504,161260,SUV,6,Automatic Transmission,Gasoline,Brown, Dubai,"2021 audi q7 with Navigation system, Adaptive cruise control, Sunroof. Condition: Accident history."
toyota,fortuner,2017,46968,80726,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2017 toyota fortuner with Adaptive cruise control, Sunroof. Condition: Engine repaired."
rolls-royce,cullinan,2021,2677604,289524,SUV,12,Automatic Transmission,Gasoline,White, Dubai,"2021 rolls-royce cullinan with Bluetooth, Adaptive cruise control, Sunroof. Condition: Accident history."
ford,fiesta,2006,11446,108239,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2006 ford fiesta with Leather seats, Rear camera, Adaptive cruise control, Navigation system. Condition: Minor scratches."
jeep,grand-cherokee,2013,150384,85461,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2013 jeep grand-cherokee with Sunroof, Bluetooth, Leather seats, Adaptive cruise control. Condition: Dented door."
honda,civic,2019,76932,171419,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2019 honda civic with Sunroof, Adaptive cruise control, Rear camera. Condition: Dented door."
nissan,maxima,2021,62339,112406,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2021 nissan maxima with Navigation system, Bluetooth, Rear camera, Leather seats. Condition: No damage."
nissan,murano,2015,18388,79970,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2015 nissan murano with Sunroof, Bluetooth, Rear camera, Adaptive cruise control. Condition: Minor scratches."
bmw,x4,2013,301241,157818,SUV,4,Automatic Transmission,Gasoline,White, Sharjah,"2013 bmw x4 with Leather seats, Adaptive cruise control, Rear camera, Bluetooth. Condition: Minor scratches."
nissan,patrol,2009,143925,120042,SUV,8,Automatic Transmission,Gasoline,Black, Sharjah,"2009 nissan patrol with Bluetooth, Navigation system, Adaptive cruise control. Condition: Minor scratches."
alfa-romeo,4c,2021,170322,66553,Sports Car,4,Automatic Transmission,Gasoline,Black, Dubai,"2021 alfa-romeo 4c with Sunroof, Navigation system, Bluetooth, Adaptive cruise control. Condition: Engine repaired."
infiniti,qx50,2019,83635,96837,Other,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2019 infiniti qx50 with Adaptive cruise control, Leather seats, Navigation system, Sunroof. Condition: Repainted bumper."
audi,q5,2014,303684,12305,Coupe,4,Automatic Transmission,Gasoline,Grey, Dubai,"2014 audi q5 with Rear camera, Bluetooth. Condition: Dented door."
nissan,pathfinder,2024,30984,100098,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2024 nissan pathfinder with Bluetooth, Navigation system. Condition: Dented door."
kia,sportage,2014,42563,219589,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2014 kia sportage with Leather seats, Sunroof, Bluetooth, Navigation system. Condition: No damage."
mercedes-benz,s-class,2024,32614,18392,Sedan,12,Automatic Transmission,Gasoline,White, Dubai,"2024 mercedes-benz s-class with Adaptive cruise control, Sunroof, Navigation system. Condition: Repainted bumper."
nissan,patrol,2006,272147,122113,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2006 nissan patrol with Bluetooth, Navigation system, Leather seats, Adaptive cruise control. Condition: Minor scratches."
mercedes-benz,c-class,2008,339034,133230,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2008 mercedes-benz c-class with Leather seats, Rear camera. Condition: Accident history."
nissan,x-trail,2022,104443,39498,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2022 nissan x-trail with Bluetooth, Leather seats. Condition: Minor scratches."
bmw,x6,2010,61013,156233,SUV,8,Automatic Transmission,Gasoline,Brown, Sharjah,"2010 bmw x6 with Navigation system, Rear camera. Condition: No damage."
gmc,savana,2015,62112,159497,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2015 gmc savana with Bluetooth, Rear camera, Navigation system. Condition: Dented door."
bmw,6-series,2021,99119,275149,Sedan,8,Automatic Transmission,Gasoline,Silver, Dubai,"2021 bmw 6-series with Leather seats, Bluetooth, Adaptive cruise control, Rear camera. Condition: Accident history."
toyota,camry,2009,16481,286235,Sedan,4,Automatic Transmission,Gasoline,Blue, Sharjah,"2009 toyota camry with Leather seats, Rear camera, Navigation system. Condition: Minor scratches."
peugeot,508,2022,117448,197605,Sedan,4,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2022 peugeot 508 with Adaptive cruise control, Rear camera, Sunroof. Condition: No damage."
nissan,xterra,2005,91662,142592,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2005 nissan xterra with Navigation system, Bluetooth. Condition: Dented door."
jeep,grand-cherokee,2013,113232,86320,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2013 jeep grand-cherokee with Bluetooth, Sunroof, Rear camera. Condition: Minor scratches."
chevrolet,silverado,2010,92520,219616,Other,8,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2010 chevrolet silverado with Rear camera, Navigation system, Bluetooth, Leather seats. Condition: Engine repaired."
hyundai,h1,2006,37685,68411,Utility Truck,Unknown,Automatic Transmission,Diesel,Silver, Sharjah,"2006 hyundai h1 with Navigation system, Bluetooth. Condition: Engine repaired."
nissan,370z,2019,81265,71367,Coupe,6,Automatic Transmission,Gasoline,White, Dubai,"2019 nissan 370z with Bluetooth, Sunroof. Condition: Dented door."
cadillac,escalade,2023,33986,257230,SUV,8,Automatic Transmission,Gasoline,Black, Sharjah,"2023 cadillac escalade with Rear camera, Leather seats, Sunroof. Condition: Accident history."
chevrolet,corvette,2010,151337,56130,Sports Car,8,Automatic Transmission,Gasoline,Black, Sharjah,"2010 chevrolet corvette with Navigation system, Leather seats. Condition: Engine repaired."
toyota,rav-4,2022,42952,203669,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2022 toyota rav-4 with Bluetooth, Adaptive cruise control, Leather seats. Condition: No damage."
mercedes-benz,glc,2017,164522,180503,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai,"2017 mercedes-benz glc with Bluetooth, Navigation system, Adaptive cruise control. Condition: Minor scratches."
bmw,7-series,2006,90944,32087,Sedan,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2006 bmw 7-series with Navigation system, Leather seats. Condition: No damage."
mazda,6,2012,43201,218608,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2012 mazda 6 with Bluetooth, Adaptive cruise control, Rear camera. Condition: Dented door."
mercedes-benz,s-class,2006,122527,138316,Sedan,8,Automatic Transmission,Gasoline,Black,Al Ain,"2006 mercedes-benz s-class with Sunroof, Adaptive cruise control. Condition: No damage."
bmw,x5,2011,142843,133494,SUV,6,Automatic Transmission,Gasoline,Black, Sharjah,"2011 bmw x5 with Sunroof, Navigation system, Rear camera, Leather seats. Condition: Minor scratches."
bmw,x6,2012,84364,55070,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2012 bmw x6 with Rear camera, Bluetooth. Condition: Engine repaired."
infiniti,qx70,2023,78142,259010,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2023 infiniti qx70 with Navigation system, Leather seats. Condition: Accident history."
mercedes-benz,cls-class,2018,323110,193905,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai,"2018 mercedes-benz cls-class with Rear camera, Sunroof. Condition: Accident history."
nissan,x-trail,2015,101456,268223,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2015 nissan x-trail with Rear camera, Adaptive cruise control. Condition: Minor scratches."
lexus,lx600,2019,579671,168802,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2019 lexus lx600 with Rear camera, Adaptive cruise control, Bluetooth, Sunroof. Condition: Engine repaired."
audi,s8,2021,125487,236243,Sedan,8,Automatic Transmission,Gasoline,Silver, Sharjah,"2021 audi s8 with Adaptive cruise control, Bluetooth, Sunroof. Condition: Dented door."
toyota,hilux,2011,135052,116221,Pick Up Truck,4,Manual Transmission,Diesel,Black, Dubai,"2011 toyota hilux with Adaptive cruise control, Navigation system. Condition: Repainted bumper."
nissan,patrol,2008,63592,57331,SUV,8,Automatic Transmission,Gasoline,Silver, Sharjah,"2008 nissan patrol with Bluetooth, Adaptive cruise control. Condition: Minor scratches."
dodge,charger,2011,102563,227027,Sedan,8,Automatic Transmission,Gasoline,White, Abu Dhabi,"2011 dodge charger with Bluetooth, Leather seats. Condition: Repainted bumper."
toyota,corolla,2024,44484,68697,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2024 toyota corolla with Rear camera, Adaptive cruise control, Bluetooth. Condition: Accident history."
honda,accord,2023,23526,48101,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2023 honda accord with Rear camera, Adaptive cruise control. Condition: Accident history."
bmw,4-series,2022,166604,149752,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2022 bmw 4-series with Sunroof, Navigation system. Condition: Accident history."
nissan,patrol,2011,107958,111063,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2011 nissan patrol with Rear camera, Leather seats, Adaptive cruise control, Sunroof. Condition: No damage."
land-rover,range-rover-evoque,2018,119270,116875,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2018 land-rover range-rover-evoque with Adaptive cruise control, Navigation system. Condition: Dented door."
audi,q5,2021,240348,282542,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai,"2021 audi q5 with Bluetooth, Navigation system, Sunroof. Condition: Accident history."
mercedes-benz,gle-coupe,2006,188093,32204,SUV,6,Automatic Transmission,Gasoline,Red, Dubai,"2006 mercedes-benz gle-coupe with Navigation system, Rear camera, Adaptive cruise control. Condition: Dented door."
jeep,grand-cherokee,2005,289620,99834,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2005 jeep grand-cherokee with Adaptive cruise control, Rear camera, Sunroof, Leather seats. Condition: Dented door."
toyota,land-cruiser,2018,348696,297517,Wagon,6,Automatic Transmission,Gasoline,White, Dubai,"2018 toyota land-cruiser with Sunroof, Bluetooth. Condition: Repainted bumper."
jaguar,f-type,2012,194686,273836,Coupe,8,Automatic Transmission,Gasoline,Grey, Dubai,"2012 jaguar f-type with Rear camera, Navigation system. Condition: Minor scratches."
nissan,sunny,2011,16966,64551,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2011 nissan sunny with Leather seats, Navigation system, Bluetooth, Rear camera. Condition: Engine repaired."
lexus,rx-series,2014,206788,191043,SUV,6,Automatic Transmission,Gasoline,White, Sharjah,"2014 lexus rx-series with Rear camera, Sunroof, Bluetooth, Navigation system. Condition: No damage."
toyota,hilux,2015,133808,260786,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2015 toyota hilux with Sunroof, Leather seats. Condition: Dented door."
audi,a3,2007,60970,159123,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2007 audi a3 with Navigation system, Sunroof, Bluetooth. Condition: No damage."
chrysler,other,2020,25354,265125,Sedan,6,Automatic Transmission,Gasoline,Brown, Dubai,"2020 chrysler other with Rear camera, Navigation system. Condition: Engine repaired."
porsche,carrera,2009,989753,233464,Coupe,6,Automatic Transmission,Gasoline,White, Dubai,"2009 porsche carrera with Rear camera, Adaptive cruise control, Leather seats. Condition: Dented door."
bmw,3-series,2020,26142,18077,Sedan,4,Automatic Transmission,Gasoline,Tan, Ajman,"2020 bmw 3-series with Rear camera, Sunroof. Condition: Accident history."
dodge,charger,2021,165177,258936,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2021 dodge charger with Rear camera, Leather seats. Condition: No damage."
lexus,lx-series,2020,328122,264889,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2020 lexus lx-series with Adaptive cruise control, Sunroof, Leather seats. Condition: Minor scratches."
volkswagen,id4,2008,118958,111610,Crossover,,Automatic Transmission,Electric,Grey, Dubai,"2008 volkswagen id4 with Adaptive cruise control, Leather seats, Bluetooth, Navigation system. Condition: Accident history."
audi,a3,2023,40076,228660,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2023 audi a3 with Adaptive cruise control, Sunroof, Navigation system, Rear camera. Condition: Repainted bumper."
mercedes-benz,gls-class,2006,390105,120631,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2006 mercedes-benz gls-class with Leather seats, Bluetooth, Sunroof, Adaptive cruise control. Condition: Dented door."
mercedes-benz,c-class,2006,43657,203985,Sedan,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2006 mercedes-benz c-class with Rear camera, Bluetooth, Sunroof, Adaptive cruise control. Condition: Accident history."
nissan,x-trail,2024,55610,41115,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2024 nissan x-trail with Navigation system, Bluetooth. Condition: Accident history."
jeep,grand-cherokee,2019,84046,158332,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2019 jeep grand-cherokee with Leather seats, Navigation system, Rear camera. Condition: No damage."
ferrari,599gtb,2009,499983,128241,Coupe,12,Automatic Transmission,Gasoline,Red, Dubai,"2009 ferrari 599gtb with Bluetooth, Adaptive cruise control, Rear camera, Sunroof. Condition: Repainted bumper."
nissan,murano,2008,13088,16674,SUV,6,Automatic Transmission,Gasoline,Gold, Abu Dhabi,"2008 nissan murano with Sunroof, Navigation system. Condition: Minor scratches."
toyota,86,2015,74452,191233,Coupe,4,Automatic Transmission,Gasoline,White, Dubai,"2015 toyota 86 with Rear camera, Navigation system, Adaptive cruise control. Condition: Repainted bumper."
bentley,mulsanne,2009,911483,284976,Sedan,12,Automatic Transmission,Gasoline,Blue, Dubai,"2009 bentley mulsanne with Leather seats, Navigation system, Rear camera, Sunroof. Condition: Minor scratches."
land-rover,discovery,2023,173385,18646,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2023 land-rover discovery with Sunroof, Adaptive cruise control, Leather seats. Condition: Accident history."
bentley,bentayga,2021,475282,32103,SUV,12,Automatic Transmission,Gasoline,Gold, Dubai,"2021 bentley bentayga with Rear camera, Sunroof, Bluetooth. Condition: Engine repaired."
nissan,370z,2016,70760,260212,Coupe,6,Automatic Transmission,Gasoline,Red, Sharjah,"2016 nissan 370z with Adaptive cruise control, Bluetooth. Condition: Dented door."
toyota,land-cruiser,2018,321195,65847,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2018 toyota land-cruiser with Sunroof, Rear camera. Condition: Repainted bumper."
ford,other,2014,142092,263721,Other,6,Automatic Transmission,Gasoline,White, Sharjah,"2014 ford other with Bluetooth, Rear camera, Adaptive cruise control, Navigation system. Condition: Accident history."
bmw,5-series,2010,172658,77762,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2010 bmw 5-series with Bluetooth, Navigation system, Leather seats. Condition: Repainted bumper."
ford,edge,2021,41641,107205,SUV,4,Automatic Transmission,Gasoline,Silver, Dubai,"2021 ford edge with Bluetooth, Leather seats, Navigation system, Rear camera. Condition: Minor scratches."
mercedes-benz,g-class,2020,915457,202386,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2020 mercedes-benz g-class with Leather seats, Navigation system, Bluetooth. Condition: Dented door."
isuzu,other,2010,101000,213835,Utility Truck,8,Manual Transmission,Diesel,White, Dubai,"2010 isuzu other with Navigation system, Leather seats. Condition: Accident history."
nissan,x-trail,2008,69145,126509,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2008 nissan x-trail with Sunroof, Adaptive cruise control, Bluetooth, Rear camera. Condition: Repainted bumper."
mercedes-benz,gl-class,2005,171497,62377,SUV,8,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2005 mercedes-benz gl-class with Leather seats, Navigation system, Adaptive cruise control, Rear camera. Condition: Accident history."
land-rover,range-rover-velar,2013,271222,87978,SUV,6,Automatic Transmission,Gasoline,Gold, Sharjah,"2013 land-rover range-rover-velar with Rear camera, Bluetooth, Adaptive cruise control. Condition: Repainted bumper."
toyota,camry,2017,48018,195085,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2017 toyota camry with Adaptive cruise control, Leather seats, Bluetooth. Condition: Dented door."
mercedes-benz,s-class,2009,71625,12856,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2009 mercedes-benz s-class with Rear camera, Adaptive cruise control. Condition: Dented door."
land-rover,lr3,2008,17496,264819,SUV,8,Automatic Transmission,Gasoline,Silver, Abu Dhabi,"2008 land-rover lr3 with Bluetooth, Rear camera. Condition: Minor scratches."
infiniti,q80,2007,86729,151217,SUV,8,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2007 infiniti q80 with Navigation system, Sunroof, Leather seats, Adaptive cruise control. Condition: Minor scratches."
hyundai,veloster,2018,35446,257351,Hatchback,4,Automatic Transmission,Gasoline,Silver, Dubai,"2018 hyundai veloster with Sunroof, Leather seats. Condition: Repainted bumper."
jaguar,xf,2023,51327,110085,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2023 jaguar xf with Sunroof, Navigation system. Condition: Minor scratches."
mitsubishi,pajero,2013,49057,92341,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2013 mitsubishi pajero with Navigation system, Adaptive cruise control, Sunroof, Leather seats. Condition: Dented door."
toyota,hilux,2007,73202,13301,Pick Up Truck,4,Automatic Transmission,Gasoline,White, Dubai,"2007 toyota hilux with Adaptive cruise control, Sunroof, Bluetooth, Leather seats. Condition: Dented door."
mercedes-benz,clk-class,2010,13981,56396,Coupe,6,Automatic Transmission,Gasoline,White, Dubai,"2010 mercedes-benz clk-class with Rear camera, Bluetooth, Navigation system. Condition: Repainted bumper."
porsche,cayenne,2015,117160,293106,SUV,6,Automatic Transmission,Gasoline,Gold, Dubai,"2015 porsche cayenne with Adaptive cruise control, Leather seats, Rear camera. Condition: Engine repaired."
mitsubishi,l200,2011,53559,229887,SUV,4,Manual Transmission,Diesel,White, Dubai,"2011 mitsubishi l200 with Rear camera, Sunroof. Condition: Engine repaired."
ford,expedition,2008,167000,38343,Other,6,Automatic Transmission,Gasoline,Black, Dubai,"2008 ford expedition with Adaptive cruise control, Navigation system, Rear camera. Condition: Engine repaired."
mercedes-benz,g-class,2016,1868700,98353,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2016 mercedes-benz g-class with Rear camera, Sunroof. Condition: Dented door."
mclaren,675lt,2019,689130,221219,Sports Car,8,Automatic Transmission,Gasoline,Black, Dubai,"2019 mclaren 675lt with Navigation system, Adaptive cruise control. Condition: Minor scratches."
maserati,levante,2021,227683,142582,SUV,6,Automatic Transmission,Gasoline,Brown, Dubai,"2021 maserati levante with Navigation system, Sunroof, Bluetooth. Condition: Dented door."
mitsubishi,montero-sport,2012,72235,88520,Crossover,6,Automatic Transmission,Gasoline,White, Sharjah,"2012 mitsubishi montero-sport with Sunroof, Leather seats, Navigation system. Condition: Engine repaired."
toyota,yaris,2012,17964,230477,Hatchback,4,Automatic Transmission,Gasoline,Grey, Dubai,"2012 toyota yaris with Navigation system, Adaptive cruise control, Bluetooth, Rear camera. Condition: Repainted bumper."
dodge,ram,2011,140753,234754,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2011 dodge ram with Rear camera, Sunroof, Leather seats, Navigation system. Condition: Engine repaired."
kia,sportage,2010,51315,208750,SUV,4,Automatic Transmission,Gasoline,Teal, Dubai,"2010 kia sportage with Leather seats, Sunroof, Navigation system, Adaptive cruise control. Condition: Repainted bumper."
land-rover,lr4,2009,55449,219417,SUV,8,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2009 land-rover lr4 with Navigation system, Adaptive cruise control, Rear camera. Condition: Dented door."
mercedes-benz,a-class,2005,235296,84366,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2005 mercedes-benz a-class with Navigation system, Leather seats, Bluetooth. Condition: Dented door."
volkswagen,gti,2009,40171,168557,Hatchback,4,Automatic Transmission,Gasoline,Silver, Dubai,"2009 volkswagen gti with Leather seats, Sunroof, Navigation system, Adaptive cruise control. Condition: Accident history."
lexus,ls-series,2005,101974,24257,Sedan,8,Automatic Transmission,Gasoline,White, Umm Al Qawain,"2005 lexus ls-series with Rear camera, Leather seats. Condition: Accident history."
chevrolet,captiva,2018,33090,265079,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2018 chevrolet captiva with Rear camera, Navigation system. Condition: No damage."
porsche,carrera,2012,575608,77590,Sports Car,6,Automatic Transmission,Gasoline,Beige, Abu Dhabi,"2012 porsche carrera with Leather seats, Bluetooth, Adaptive cruise control. Condition: Dented door."
toyota,yaris,2015,41207,218212,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2015 toyota yaris with Leather seats, Sunroof, Navigation system. Condition: Dented door."
mitsubishi,l200,2020,24074,133101,Pick Up Truck,4,Manual Transmission,Gasoline,White, Sharjah,"2020 mitsubishi l200 with Sunroof, Navigation system. Condition: Dented door."
toyota,land-cruiser,2014,24070,10227,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2014 toyota land-cruiser with Leather seats, Rear camera, Sunroof, Navigation system. Condition: Repainted bumper."
dodge,ram,2020,75101,84447,SUV,8,Automatic Transmission,Gasoline,White, Ajman,"2020 dodge ram with Navigation system, Leather seats, Bluetooth, Adaptive cruise control. Condition: Repainted bumper."
mercedes-benz,e-class,2022,67122,200783,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2022 mercedes-benz e-class with Leather seats, Navigation system. Condition: No damage."
nissan,patrol,2011,127103,234828,SUV,8,Manual Transmission,Gasoline,White, Abu Dhabi,"2011 nissan patrol with Rear camera, Bluetooth, Navigation system. Condition: Repainted bumper."
jeep,grand-cherokee,2008,235117,13177,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2008 jeep grand-cherokee with Navigation system, Sunroof, Adaptive cruise control. Condition: Accident history."
dodge,charger,2022,44706,233677,Sedan,8,Automatic Transmission,Gasoline,Silver, Dubai,"2022 dodge charger with Rear camera, Adaptive cruise control. Condition: Minor scratches."
nissan,micra,2018,41300,143574,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2018 nissan micra with Rear camera, Adaptive cruise control, Sunroof, Bluetooth. Condition: Dented door."
mercedes-benz,g-class,2017,827444,287247,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2017 mercedes-benz g-class with Navigation system, Leather seats, Rear camera. Condition: Minor scratches."
nissan,patrol,2022,340954,55019,SUV,8,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2022 nissan patrol with Sunroof, Leather seats. Condition: Engine repaired."
bentley,continental-gt,2012,1155172,29347,Coupe,8,Automatic Transmission,Gasoline,Black, Dubai,"2012 bentley continental-gt with Sunroof, Leather seats, Adaptive cruise control. Condition: No damage."
mercedes-benz,gle-coupe,2006,267556,201144,Coupe,8,Automatic Transmission,Gasoline,White, Dubai,"2006 mercedes-benz gle-coupe with Adaptive cruise control, Rear camera, Navigation system, Sunroof. Condition: Dented door."
peugeot,308,2019,57376,90607,Hatchback,4,Automatic Transmission,Gasoline,Red, Dubai,"2019 peugeot 308 with Bluetooth, Sunroof. Condition: No damage."
land-rover,range-rover,2016,21351,199236,SUV,8,Automatic Transmission,Gasoline,Green, Dubai,"2016 land-rover range-rover with Navigation system, Bluetooth, Sunroof, Rear camera. Condition: Accident history."
ford,f-series-pickup,2007,220838,41284,Pick Up Truck,6,Automatic Transmission,Gasoline,Black, Sharjah,"2007 ford f-series-pickup with Bluetooth, Sunroof, Leather seats, Navigation system. Condition: No damage."
mercedes-benz,g-class,2007,1205105,256182,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2007 mercedes-benz g-class with Rear camera, Leather seats. Condition: No damage."
bentley,bentayga,2014,828065,10979,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2014 bentley bentayga with Adaptive cruise control, Sunroof, Navigation system, Bluetooth. Condition: Dented door."
toyota,camry,2006,75264,42568,Sedan,4,Automatic Transmission,Gasoline,Black, Sharjah,"2006 toyota camry with Navigation system, Bluetooth, Rear camera, Sunroof. Condition: Repainted bumper."
toyota,land-cruiser,2020,394399,76863,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2020 toyota land-cruiser with Navigation system, Sunroof. Condition: Dented door."
honda,cr-v,2010,37926,297592,Crossover,4,Automatic Transmission,Gasoline,Grey, Dubai,"2010 honda cr-v with Adaptive cruise control, Navigation system, Bluetooth, Sunroof. Condition: Repainted bumper."
mercedes-benz,g-class,2018,1056861,271366,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2018 mercedes-benz g-class with Bluetooth, Leather seats. Condition: No damage."
mitsubishi,pajero,2022,66312,102241,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2022 mitsubishi pajero with Rear camera, Navigation system, Bluetooth. Condition: Accident history."
porsche,panamera,2011,110035,216921,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai,"2011 porsche panamera with Adaptive cruise control, Sunroof, Rear camera. Condition: Dented door."
mercedes-benz,g-class,2017,1016861,73139,SUV,8,Automatic Transmission,Gasoline,Beige, Dubai,"2017 mercedes-benz g-class with Navigation system, Rear camera, Sunroof. Condition: Dented door."
rolls-royce,cullinan,2020,2221436,210317,SUV,12,Automatic Transmission,Gasoline,Black, Dubai,"2020 rolls-royce cullinan with Leather seats, Navigation system, Sunroof. Condition: Dented door."
infiniti,q30,2016,115969,259589,SUV,4,Automatic Transmission,Gasoline,Red, Abu Dhabi,"2016 infiniti q30 with Navigation system, Leather seats, Bluetooth, Sunroof. Condition: Engine repaired."
ford,explorer,2015,32792,263957,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2015 ford explorer with Sunroof, Rear camera. Condition: Repainted bumper."
nissan,patrol,2023,137465,174225,SUV,8,Automatic Transmission,Gasoline,White, Abu Dhabi,"2023 nissan patrol with Adaptive cruise control, Rear camera, Navigation system, Sunroof. Condition: Accident history."
porsche,carrera,2006,361929,259803,Coupe,6,Automatic Transmission,Gasoline,Red, Dubai,"2006 porsche carrera with Adaptive cruise control, Navigation system. Condition: No damage."
bmw,3-series,2006,79302,93927,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2006 bmw 3-series with Bluetooth, Leather seats, Rear camera. Condition: No damage."
porsche,cayenne,2024,150636,97771,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2024 porsche cayenne with Adaptive cruise control, Leather seats, Bluetooth. Condition: Repainted bumper."
aston-martin,vantage,2024,691283,129924,Coupe,12,Automatic Transmission,Gasoline,Blue, Dubai,"2024 aston-martin vantage with Adaptive cruise control, Rear camera. Condition: Repainted bumper."
bmw,7-series,2014,69022,297695,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2014 bmw 7-series with Adaptive cruise control, Rear camera, Navigation system. Condition: Minor scratches."
nissan,maxima,2010,39590,115520,Sedan,6,Automatic Transmission,Gasoline,Silver, Dubai,"2010 nissan maxima with Adaptive cruise control, Bluetooth, Navigation system. Condition: Repainted bumper."
mitsubishi,montero-sport,2010,131029,123533,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2010 mitsubishi montero-sport with Bluetooth, Leather seats, Adaptive cruise control. Condition: Dented door."
